Season,Club,gk_players_used,gk_minutes,gk_minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_draws,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att_gk,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
2013-2014,West Ham,2,3420,,51,1.34,193,142,73.6,11,7,20,14,36.8,,,,,
2014-2015,Arsenal,3,3420,38.0,36,0.95,128,92,71.9,22,9,7,13,34.2,,,,,
2014-2015,Aston Villa,3,3420,38.0,57,1.50,168,111,66.1,10,8,20,10,26.3,,,,,
2014-2015,Burnley,1,3420,38.0,53,1.39,178,125,70.2,7,12,19,10,26.3,,,,,
2014-2015,Chelsea,2,3420,38.0,32,0.84,121,89,73.6,26,9,3,17,44.7,,,,,
2014-2015,Crystal Palace,2,3420,38.0,51,1.34,144,93,64.6,13,9,16,7,18.4,,,,,
2014-2015,Everton,2,3420,38.0,50,1.32,128,78,60.9,12,11,15,10,26.3,,,,,
2014-2015,Hull City,3,3420,38.0,51,1.34,153,102,66.7,8,11,19,10,26.3,,,,,
2014-2015,Leicester City,3,3420,38.0,55,1.45,172,117,68.0,11,8,19,10,26.3,,,,,
2014-2015,Liverpool,2,3420,38.0,48,1.26,139,91,65.5,18,8,12,14,36.8,,,,,
2014-2015,Manchester City,2,3420,38.0,38,1.00,128,90,70.3,24,7,7,14,36.8,,,,,
2014-2015,Manchester Utd,2,3420,38.0,37,0.97,134,97,72.4,20,10,8,11,28.9,,,,,
2014-2015,Newcastle Utd,3,3420,38.0,63,1.66,161,98,60.9,10,9,19,8,21.1,,,,,
2014-2015,QPR,2,3420,38.0,73,1.92,209,136,65.1,8,6,24,6,15.8,,,,,
2014-2015,Southampton,3,3420,38.0,33,0.87,109,76,69.7,18,6,14,15,39.5,,,,,
2014-2015,Stoke City,2,3420,38.0,45,1.18,139,94,67.6,15,9,14,9,23.7,,,,,
2014-2015,Sunderland,2,3420,38.0,53,1.39,191,138,72.3,7,17,14,13,34.2,,,,,
2014-2015,Swansea City,2,3420,38.0,49,1.29,188,139,73.9,16,8,14,13,34.2,,,,,
2014-2015,Tottenham,2,3420,38.0,53,1.39,170,117,68.8,19,7,12,9,23.7,,,,,
2014-2015,West Brom,2,3420,38.0,51,1.34,182,131,72.0,11,11,16,16,42.1,,,,,
2014-2015,West Ham,2,3420,38.0,47,1.24,174,127,73.0,12,11,15,9,23.7,,,,,
2015-2016,Arsenal,2,3420,38.0,36,0.95,148,112,75.7,20,11,7,18,47.4,,,,,
2015-2016,Aston Villa,2,3420,38.0,76,2.00,186,110,59.1,3,8,27,6,15.8,,,,,
2015-2016,Bournemouth,3,3420,38.0,67,1.76,152,85,55.9,11,9,18,7,18.4,,,,,
2015-2016,Chelsea,2,3419,38.0,53,1.40,172,119,69.2,12,14,12,9,23.7,,,,,
2015-2016,Crystal Palace,3,3420,38.0,51,1.34,168,117,69.6,11,9,18,8,21.1,,,,,
2015-2016,Everton,2,3420,38.0,55,1.45,179,124,69.3,11,14,13,10,26.3,,,,,
2015-2016,Leicester City,1,3420,38.0,36,0.95,136,100,73.5,23,12,3,15,39.5,,,,,
2015-2016,Liverpool,3,3420,38.0,50,1.32,130,80,61.5,16,12,10,11,28.9,,,,,
2015-2016,Manchester City,2,3420,38.0,41,1.08,125,84,67.2,19,9,10,16,42.1,,,,,
2015-2016,Manchester Utd,2,3420,38.0,35,0.92,120,85,70.8,19,9,10,18,47.4,,,,,
2015-2016,Newcastle Utd,3,3420,38.0,65,1.71,178,113,63.5,9,10,19,8,21.1,,,,,
2015-2016,Norwich City,2,3420,38.0,67,1.76,165,98,59.4,9,7,22,5,13.2,,,,,
2015-2016,Southampton,4,3420,38.0,41,1.08,133,92,69.2,18,9,11,12,31.6,,,,,
2015-2016,Stoke City,3,3420,38.0,55,1.45,175,120,68.6,14,9,15,10,26.3,,,,,
2015-2016,Sunderland,3,3420,38.0,62,1.63,213,151,70.9,9,12,17,7,18.4,,,,,
2015-2016,Swansea City,2,3420,38.0,52,1.37,165,113,68.5,12,11,15,9,23.7,,,,,
2015-2016,Tottenham,2,3420,38.0,35,0.92,121,86,71.1,19,13,6,13,34.2,,,,,
2015-2016,Watford,2,3420,38.0,50,1.32,123,73,59.3,12,9,17,11,28.9,,,,,
2015-2016,West Brom,2,3420,38.0,48,1.26,155,107,69.0,10,13,15,11,28.9,,,,,
2015-2016,West Ham,2,3420,38.0,51,1.34,162,111,68.5,16,14,8,11,28.9,,,,,
2016-2017,Arsenal,3,3420,38.0,44,1.16,167,123,79.6,23,6,9,13,34.2,10,10,0,0,0.0
2016-2017,Bournemouth,3,3420,38.0,67,1.76,189,122,65.6,12,10,16,10,26.3,5,2,2,1,50.0
2016-2017,Burnley,2,3420,38.0,55,1.45,208,153,75.5,11,7,20,10,26.3,5,4,1,0,20.0
2016-2017,Chelsea,2,3420,38.0,33,0.87,105,72,70.5,30,3,5,16,42.1,2,2,0,0,0.0
2016-2017,Crystal Palace,2,3420,38.0,63,1.66,176,113,65.3,12,5,21,7,18.4,2,2,0,0,0.0
2016-2017,Everton,2,3420,38.0,44,1.16,148,104,72.3,17,10,11,13,34.2,5,3,1,1,25.0
2016-2017,Hull City,2,3420,38.0,80,2.11,214,134,67.8,9,7,22,5,13.2,14,11,2,1,15.4
2016-2017,Leicester City,2,3420,38.0,63,1.66,190,127,68.4,12,8,18,9,23.7,3,3,0,0,0.0
2016-2017,Liverpool,2,3420,38.0,42,1.11,114,72,65.8,22,10,6,12,31.6,5,3,2,0,40.0
2016-2017,Manchester City,2,3420,38.0,39,1.03,105,66,64.8,23,9,6,12,31.6,5,2,1,2,33.3
2016-2017,Manchester Utd,3,3420,38.0,29,0.76,116,87,78.4,18,15,5,17,44.7,5,4,1,0,20.0
2016-2017,Middlesbrough,2,3420,38.0,53,1.39,171,118,71.3,5,13,20,11,28.9,5,4,0,1,0.0
2016-2017,Southampton,1,3420,38.0,48,1.26,130,82,67.7,12,10,16,14,36.8,9,6,1,2,14.3
2016-2017,Stoke City,3,3420,38.0,56,1.47,180,124,69.4,11,11,16,11,28.9,2,1,1,0,50.0
2016-2017,Sunderland,2,3420,38.0,69,1.82,248,179,73.8,6,6,26,6,15.8,4,4,0,0,0.0
2016-2017,Swansea City,2,3420,38.0,70,1.84,179,109,64.2,12,5,21,8,21.1,8,6,1,1,14.3
2016-2017,Tottenham,2,3420,38.0,26,0.68,110,84,78.2,26,8,4,17,44.7,2,2,0,0,0.0
2016-2017,Watford,2,3420,38.0,68,1.79,187,119,65.2,11,7,20,7,18.4,4,3,1,0,25.0
2016-2017,West Brom,1,3420,38.0,51,1.34,160,109,70.0,12,9,17,6,15.8,3,3,0,0,0.0
2016-2017,West Ham,2,3420,38.0,64,1.68,182,118,67.6,12,9,17,10,26.3,8,5,1,2,16.7
2017-2018,Arsenal,2,3420,38.0,51,1.34,142,94,67.6,19,6,13,13,34.2,6,5,1,0,16.7
2017-2018,Bournemouth,1,3420,38.0,61,1.61,171,113,65.5,11,11,16,6,15.8,4,2,1,1,33.3
2017-2018,Brighton,1,3420,38.0,54,1.42,171,121,69.0,9,13,16,10,26.3,3,1,2,0,66.7
2017-2018,Burnley,2,3420,38.0,39,1.03,160,123,77.5,14,12,12,12,31.6,5,3,1,1,25.0
2017-2018,Chelsea,2,3420,38.0,38,1.00,116,81,69.0,21,7,10,16,42.1,2,2,0,0,0.0
2017-2018,Crystal Palace,2,3420,38.0,55,1.45,167,116,68.3,11,11,16,9,23.7,2,2,0,0,0.0
2017-2018,Everton,1,3420,38.0,58,1.53,175,119,68.6,13,10,15,10,26.3,5,3,1,1,25.0
2017-2018,Huddersfield,1,3420,38.0,57,1.50,153,97,65.4,9,10,19,10,26.3,6,4,2,0,33.3
2017-2018,Leicester City,3,3420,38.0,60,1.58,161,104,64.0,12,11,15,9,23.7,4,2,2,0,50.0
2017-2018,Liverpool,2,3420,38.0,38,1.00,96,60,64.6,21,12,5,17,44.7,6,4,2,0,33.3
2017-2018,Manchester City,2,3420,38.0,27,0.71,82,56,67.1,32,4,2,18,47.4,3,0,2,1,100.0
2017-2018,Manchester Utd,2,3420,38.0,28,0.74,143,117,81.1,25,6,7,19,50.0,1,1,0,0,0.0
